Model	Condition	Distance	MI	UnigramCE
3416663	0	0	0	6.38887342112
3416663	0	1	1.06909340093	6.38887342112
3416663	0	2	0.111904447753	6.38887342112
3416663	0	3	0.02780360962	6.38887342112
3416663	0	4	0.0126428163915	6.38887342112
3416663	0	5	0.00761487154257	6.38887342112
3416663	0	6	0.00402708732722	6.38887342112
3416663	0	7	0.00242327116625	6.38887342112
3416663	0	8	0.00271255934776	6.38887342112
3416663	0	9	0.000800247924026	6.38887342112
3416663	0	10	0.00296902658743	6.38887342112
3416663	0	11	0.000679807793365	6.38887342112
3416663	0	12	0.00160876311129	6.38887342112
3416663	0	13	0.0011874949198	6.38887342112
3416663	0	14	0.00126230256146	6.38887342112
3416663	0	15	0.000905674751214	6.38887342112
3416663	0	16	0.000420333245835	6.38887342112
3416663	0	17	0.000309205333103	6.38887342112
3416663	0	18	0.000408842726192	6.38887342112
3416663	0	19	0.0003907217327	6.38887342112
3416663	1	0	0	6.38887342112
3416663	1	1	1.03694848773	6.38887342112
3416663	1	2	0.112665250475	6.38887342112
3416663	1	3	0.0249388960728	6.38887342112
3416663	1	4	0.012358306296	6.38887342112
3416663	1	5	0.0063455859882	6.38887342112
3416663	1	6	0.00484373487004	6.38887342112
3416663	1	7	0.00527369215739	6.38887342112
3416663	1	8	0.00302578749389	6.38887342112
3416663	1	9	0.00193461840597	6.38887342112
3416663	1	10	0.000207516581923	6.38887342112
3416663	1	11	0.00142318230764	6.38887342112
3416663	1	12	2.52568788506e-05	6.38887342112
3416663	1	13	0.000653460625935	6.38887342112
3416663	1	14	-3.97810490069e-05	6.38887342112
3416663	1	15	0.000644342652305	6.38887342112
3416663	1	16	-0.000356739350849	6.38887342112
3416663	1	17	0.000548419705594	6.38887342112
3416663	1	18	0.000305086732556	6.38887342112
3416663	1	19	0.00022802408041	6.38887342112
7808182	0	0	0	6.41232529036
7808182	0	1	1.05205918916	6.41232529036
7808182	0	2	0.126768331019	6.41232529036
7808182	0	3	0.0261646201438	6.41232529036
7808182	0	4	0.00957824541274	6.41232529036
7808182	0	5	0.00372068512447	6.41232529036
7808182	0	6	0.00167276724288	6.41232529036
7808182	0	7	0.00113828626151	6.41232529036
7808182	0	8	-0.000631581077426	6.41232529036
7808182	0	9	0.000457633577641	6.41232529036
7808182	0	10	0.00107254312051	6.41232529036
7808182	0	11	0.000450360509161	6.41232529036
7808182	0	12	-9.08551352214e-05	6.41232529036
7808182	0	13	-0.000808598984926	6.41232529036
7808182	0	14	-0.000129889969302	6.41232529036
7808182	0	15	-1.71197098497e-05	6.41232529036
7808182	0	16	9.45421012153e-05	6.41232529036
7808182	0	17	-7.91496297126e-06	6.41232529036
7808182	0	18	-0.000685784164083	6.41232529036
7808182	0	19	1.67638651432e-05	6.41232529036
7808182	1	0	0	6.41232529036
7808182	1	1	0.988371709733	6.41232529036
7808182	1	2	0.126989733334	6.41232529036
7808182	1	3	0.0367699885922	6.41232529036
7808182	1	4	0.0105046152117	6.41232529036
7808182	1	5	0.00743821661243	6.41232529036
7808182	1	6	0.00551312199708	6.41232529036
7808182	1	7	0.00521082837417	6.41232529036
7808182	1	8	0.00164369641066	6.41232529036
7808182	1	9	0.00136848601812	6.41232529036
7808182	1	10	0.000116978390037	6.41232529036
7808182	1	11	0.000435457958632	6.41232529036
7808182	1	12	0.00105002014596	6.41232529036
7808182	1	13	-0.000468848899623	6.41232529036
7808182	1	14	-0.000575222399757	6.41232529036
7808182	1	15	0.000289767294113	6.41232529036
7808182	1	16	-8.38894269499e-05	6.41232529036
7808182	1	17	0.000368709683232	6.41232529036
7808182	1	18	0.000123114129474	6.41232529036
7808182	1	19	0.000460747656412	6.41232529036
2592460	0	0	0	6.4154843888
2592460	0	1	1.12106370501	6.4154843888
2592460	0	2	0.124035026695	6.4154843888
2592460	0	3	0.0271053492306	6.4154843888
2592460	0	4	0.0118384011636	6.4154843888
2592460	0	5	0.00595792083551	6.4154843888
2592460	0	6	0.00294791487058	6.4154843888
2592460	0	7	0.00333914582178	6.4154843888
2592460	0	8	0.00212831896271	6.4154843888
2592460	0	9	0.00250463813032	6.4154843888
2592460	0	10	0.00318925092119	6.4154843888
2592460	0	11	0.0012012703808	6.4154843888
2592460	0	12	0.000841082154342	6.4154843888
2592460	0	13	0.00148713686077	6.4154843888
2592460	0	14	5.88812718236e-05	6.4154843888
2592460	0	15	0.000822911232318	6.4154843888
2592460	0	16	0.000216797031131	6.4154843888
2592460	0	17	-0.000133362343259	6.4154843888
2592460	0	18	0.00129169094964	6.4154843888
2592460	0	19	-2.13223706149e-05	6.4154843888
2592460	1	0	0	6.4154843888
2592460	1	1	1.0757559745	6.4154843888
2592460	1	2	0.123551079644	6.4154843888
2592460	1	3	0.0294572056636	6.4154843888
2592460	1	4	0.0119644328083	6.4154843888
2592460	1	5	0.00951492518386	6.4154843888
2592460	1	6	0.00485428348642	6.4154843888
2592460	1	7	0.00496015052484	6.4154843888
2592460	1	8	0.00185393088125	6.4154843888
2592460	1	9	0.00239847891591	6.4154843888
2592460	1	10	0.00191647872757	6.4154843888
2592460	1	11	0.000746059277697	6.4154843888
2592460	1	12	0.000974956560411	6.4154843888
2592460	1	13	0.000975234821169	6.4154843888
2592460	1	14	0.000999259021048	6.4154843888
2592460	1	15	0.000153178587587	6.4154843888
2592460	1	16	0.000947613141576	6.4154843888
2592460	1	17	0.000179978743752	6.4154843888
2592460	1	18	-0.000404166247611	6.4154843888
2592460	1	19	0.000361733998006	6.4154843888
5039182	0	0	0	6.40137982145
5039182	0	1	1.10173004037	6.40137982145
5039182	0	2	0.106585935922	6.40137982145
5039182	0	3	0.0258307635505	6.40137982145
5039182	0	4	0.0112499776341	6.40137982145
5039182	0	5	0.00647822364575	6.40137982145
5039182	0	6	0.00265329851408	6.40137982145
5039182	0	7	0.00396297804378	6.40137982145
5039182	0	8	0.00300099314315	6.40137982145
5039182	0	9	0.00166279759617	6.40137982145
5039182	0	10	0.00197554063478	6.40137982145
5039182	0	11	0.000278172541553	6.40137982145
5039182	0	12	0.00107180819529	6.40137982145
5039182	0	13	-0.000396893791751	6.40137982145
5039182	0	14	0.00112818918983	6.40137982145
5039182	0	15	0.000183993942795	6.40137982145
5039182	0	16	-0.000136755032858	6.40137982145
5039182	0	17	0.000135106428661	6.40137982145
5039182	0	18	5.15883807095e-05	6.40137982145
5039182	0	19	0.000389900778131	6.40137982145
5039182	1	0	0	6.40137982145
5039182	1	1	1.03313999626	6.40137982145
5039182	1	2	0.0990156358542	6.40137982145
5039182	1	3	0.0281962044821	6.40137982145
5039182	1	4	0.0138220708283	6.40137982145
5039182	1	5	0.00890387764128	6.40137982145
5039182	1	6	0.00484094447342	6.40137982145
5039182	1	7	0.005310209167	6.40137982145
5039182	1	8	0.00279459367381	6.40137982145
5039182	1	9	0.00275549906552	6.40137982145
5039182	1	10	0.00114076772261	6.40137982145
5039182	1	11	0.0010204957999	6.40137982145
5039182	1	12	0.00201373289755	6.40137982145
5039182	1	13	0.000695765931924	6.40137982145
5039182	1	14	0.000346198435977	6.40137982145
5039182	1	15	-0.000475013213409	6.40137982145
5039182	1	16	-0.000795977437475	6.40137982145
5039182	1	17	0.000114432034978	6.40137982145
5039182	1	18	0.000208698238398	6.40137982145
5039182	1	19	0.000384172518515	6.40137982145
9312424	0	0	0	6.41368844116
9312424	0	1	1.12148045115	6.41368844116
9312424	0	2	0.131824521764	6.41368844116
9312424	0	3	0.023644852531	6.41368844116
9312424	0	4	0.0116230571796	6.41368844116
9312424	0	5	0.00685179166819	6.41368844116
9312424	0	6	0.00453703095194	6.41368844116
9312424	0	7	0.00292575089135	6.41368844116
9312424	0	8	0.000897732176584	6.41368844116
9312424	0	9	0.000698964420979	6.41368844116
9312424	0	10	0.000200755751285	6.41368844116
9312424	0	11	0.000177621119414	6.41368844116
9312424	0	12	0.00105711607974	6.41368844116
9312424	0	13	0.000410644660425	6.41368844116
9312424	0	14	-8.54515642095e-05	6.41368844116
9312424	0	15	0.000412981718235	6.41368844116
9312424	0	16	0.000758229455478	6.41368844116
9312424	0	17	-0.000316381607623	6.41368844116
9312424	0	18	0.000447531648762	6.41368844116
9312424	0	19	0.000414561621473	6.41368844116
9312424	1	0	0	6.41368844116
9312424	1	1	1.0745763535	6.41368844116
9312424	1	2	0.128975779702	6.41368844116
9312424	1	3	0.0289456150975	6.41368844116
9312424	1	4	0.0130698767301	6.41368844116
9312424	1	5	0.00694773579405	6.41368844116
9312424	1	6	0.00544266500768	6.41368844116
9312424	1	7	0.00527494995378	6.41368844116
9312424	1	8	0.000880240387596	6.41368844116
9312424	1	9	0.00148490876181	6.41368844116
9312424	1	10	-0.000610513425458	6.41368844116
9312424	1	11	7.62691779608e-05	6.41368844116
9312424	1	12	0.00050528237412	6.41368844116
9312424	1	13	0.00178991239684	6.41368844116
9312424	1	14	0.000145529589216	6.41368844116
9312424	1	15	0.00108571523831	6.41368844116
9312424	1	16	0.00108164407206	6.41368844116
9312424	1	17	-0.000409312737014	6.41368844116
9312424	1	18	0.000117983218124	6.41368844116
9312424	1	19	0.000348800714491	6.41368844116
82142	0	0	0	6.39749403847
82142	0	1	1.09910445285	6.39749403847
82142	0	2	0.122815478009	6.39749403847
82142	0	3	0.0181713661732	6.39749403847
82142	0	4	0.0137290581329	6.39749403847
82142	0	5	0.00772498421268	6.39749403847
82142	0	6	0.00368809085204	6.39749403847
82142	0	7	0.00464952557614	6.39749403847
82142	0	8	0.00299772713462	6.39749403847
82142	0	9	0.00241898982757	6.39749403847
82142	0	10	0.00188398746281	6.39749403847
82142	0	11	0.000719326772284	6.39749403847
82142	0	12	0.00148129211584	6.39749403847
82142	0	13	0.00137404296292	6.39749403847
82142	0	14	0.00084822232804	6.39749403847
82142	0	15	0.000410532332171	6.39749403847
82142	0	16	-0.000275334710647	6.39749403847
82142	0	17	0.000637020705501	6.39749403847
82142	0	18	0.000250735129305	6.39749403847
82142	0	19	0.000807516879201	6.39749403847
82142	1	0	0	6.39749403847
82142	1	1	1.05887386188	6.39749403847
82142	1	2	0.120409081592	6.39749403847
82142	1	3	0.0205576747801	6.39749403847
82142	1	4	0.0133506419233	6.39749403847
82142	1	5	0.00734455436482	6.39749403847
82142	1	6	0.00430532034312	6.39749403847
82142	1	7	0.00448461824725	6.39749403847
82142	1	8	0.00264936155536	6.39749403847
82142	1	9	0.00237381956036	6.39749403847
82142	1	10	-1.67343281081e-05	6.39749403847
82142	1	11	0.00202526967001	6.39749403847
82142	1	12	0.00159540326921	6.39749403847
82142	1	13	0.00185139515952	6.39749403847
82142	1	14	-2.6662272905e-05	6.39749403847
82142	1	15	0.00123330178672	6.39749403847
82142	1	16	0.00119034084605	6.39749403847
82142	1	17	0.00022607529241	6.39749403847
82142	1	18	0.000266901733701	6.39749403847
82142	1	19	0.00113716713603	6.39749403847
609376	0	0	0	6.40468893494
609376	0	1	1.10369749875	6.40468893494
609376	0	2	0.113601174389	6.40468893494
609376	0	3	0.0253248380567	6.40468893494
609376	0	4	0.0101663710776	6.40468893494
609376	0	5	0.00535853250186	6.40468893494
609376	0	6	0.0033095920262	6.40468893494
609376	0	7	0.00243734886769	6.40468893494
609376	0	8	0.0023336505041	6.40468893494
609376	0	9	0.000756572055808	6.40468893494
609376	0	10	0.00288641512957	6.40468893494
609376	0	11	0.00209580244926	6.40468893494
609376	0	12	0.00136292959841	6.40468893494
609376	0	13	0.00138293334822	6.40468893494
609376	0	14	0.00116318580786	6.40468893494
609376	0	15	0.00102387829375	6.40468893494
609376	0	16	0.000524717481286	6.40468893494
609376	0	17	-0.000373856829013	6.40468893494
609376	0	18	-7.25469863161e-05	6.40468893494
609376	0	19	-6.31422627633e-05	6.40468893494
609376	1	0	0	6.40468893494
609376	1	1	1.04639196243	6.40468893494
609376	1	2	0.119673542356	6.40468893494
609376	1	3	0.0298690374503	6.40468893494
609376	1	4	0.00920063615491	6.40468893494
609376	1	5	0.00704669676714	6.40468893494
609376	1	6	0.00381650755775	6.40468893494
609376	1	7	0.00414169605931	6.40468893494
609376	1	8	0.00364298394725	6.40468893494
609376	1	9	0.00193152043036	6.40468893494
609376	1	10	0.000747900332093	6.40468893494
609376	1	11	0.00172482064594	6.40468893494
609376	1	12	0.00104237425444	6.40468893494
609376	1	13	0.00106639827929	6.40468893494
609376	1	14	0.000495711849339	6.40468893494
609376	1	15	0.000424432723886	6.40468893494
609376	1	16	0.000764921103813	6.40468893494
609376	1	17	-0.000295425189945	6.40468893494
609376	1	18	0.000896937695951	6.40468893494
609376	1	19	0.000265974358286	6.40468893494
3965274	0	0	0	6.41283714094
3965274	0	1	1.11840546266	6.41283714094
3965274	0	2	0.119847493007	6.41283714094
3965274	0	3	0.0221787353628	6.41283714094
3965274	0	4	0.00903720598413	6.41283714094
3965274	0	5	0.00721718803988	6.41283714094
3965274	0	6	0.00200583088712	6.41283714094
3965274	0	7	0.00298785690738	6.41283714094
3965274	0	8	0.000871640996801	6.41283714094
3965274	0	9	0.000577195692557	6.41283714094
3965274	0	10	0.001590675068	6.41283714094
3965274	0	11	0.00140096279878	6.41283714094
3965274	0	12	0.00163003655982	6.41283714094
3965274	0	13	-6.86617064742e-05	6.41283714094
3965274	0	14	0.000273205681089	6.41283714094
3965274	0	15	3.75334774727e-06	6.41283714094
3965274	0	16	0.000519860542355	6.41283714094
3965274	0	17	0.000767061685634	6.41283714094
3965274	0	18	0.000960533166245	6.41283714094
3965274	0	19	0.000224798504799	6.41283714094
3965274	1	0	0	6.41283714094
3965274	1	1	1.05341477454	6.41283714094
3965274	1	2	0.120357857633	6.41283714094
3965274	1	3	0.036012549154	6.41283714094
3965274	1	4	0.0133191000007	6.41283714094
3965274	1	5	0.00859408331779	6.41283714094
3965274	1	6	0.00439623385228	6.41283714094
3965274	1	7	0.00448624142772	6.41283714094
3965274	1	8	0.00259639421078	6.41283714094
3965274	1	9	0.00120603398269	6.41283714094
3965274	1	10	0.000783482089747	6.41283714094
3965274	1	11	0.001133490147	6.41283714094
3965274	1	12	0.000522486231705	6.41283714094
3965274	1	13	0.000817335165016	6.41283714094
3965274	1	14	-0.000309108889211	6.41283714094
3965274	1	15	0.000347201644996	6.41283714094
3965274	1	16	-0.000348674689803	6.41283714094
3965274	1	17	0.000465659906178	6.41283714094
3965274	1	18	0.000140170958257	6.41283714094
3965274	1	19	0.00110334587325	6.41283714094
7317878	0	0	0	6.40087788344
7317878	0	1	1.1028195851	6.40087788344
7317878	0	2	0.13278392784	6.40087788344
7317878	0	3	0.0269413354955	6.40087788344
7317878	0	4	0.00812408759352	6.40087788344
7317878	0	5	0.0059947172436	6.40087788344
7317878	0	6	0.00254868200813	6.40087788344
7317878	0	7	0.00248144923782	6.40087788344
7317878	0	8	0.0022892508691	6.40087788344
7317878	0	9	0.00120505711633	6.40087788344
7317878	0	10	0.00202671155871	6.40087788344
7317878	0	11	6.96593143967e-05	6.40087788344
7317878	0	12	0.00116738054833	6.40087788344
7317878	0	13	0.000719071265983	6.40087788344
7317878	0	14	0.000197495475125	6.40087788344
7317878	0	15	0.00135900948675	6.40087788344
7317878	0	16	-7.37717887445e-05	6.40087788344
7317878	0	17	1.22991342923e-05	6.40087788344
7317878	0	18	3.32745431901e-05	6.40087788344
7317878	0	19	-5.69867882128e-06	6.40087788344
7317878	1	0	0	6.40087788344
7317878	1	1	1.05360629329	6.40087788344
7317878	1	2	0.122625882881	6.40087788344
7317878	1	3	0.0244958003617	6.40087788344
7317878	1	4	0.011702199808	6.40087788344
7317878	1	5	0.00777911680428	6.40087788344
7317878	1	6	0.00459221274282	6.40087788344
7317878	1	7	0.00578692975236	6.40087788344
7317878	1	8	0.00312217130588	6.40087788344
7317878	1	9	0.00105530530627	6.40087788344
7317878	1	10	0.000303819528072	6.40087788344
7317878	1	11	0.00105976854933	6.40087788344
7317878	1	12	0.00113611124169	6.40087788344
7317878	1	13	0.00131332037415	6.40087788344
7317878	1	14	0.000524991891291	6.40087788344
7317878	1	15	-0.000245275722356	6.40087788344
7317878	1	16	0.000755985034566	6.40087788344
7317878	1	17	0.000352141856491	6.40087788344
7317878	1	18	0.00011308589003	6.40087788344
7317878	1	19	0.000597897129036	6.40087788344
2599167	0	0	0	6.40459076682
2599167	0	1	1.07270410816	6.40459076682
2599167	0	2	0.122558357979	6.40459076682
2599167	0	3	0.0137891323509	6.40459076682
2599167	0	4	0.00480271151517	6.40459076682
2599167	0	5	0.00430305894388	6.40459076682
2599167	0	6	0.00131018463489	6.40459076682
2599167	0	7	0.0033483921393	6.40459076682
2599167	0	8	0.00191223869698	6.40459076682
2599167	0	9	0.00137352481767	6.40459076682
2599167	0	10	0.00192547535868	6.40459076682
2599167	0	11	0.000525844133239	6.40459076682
2599167	0	12	0.00063305202182	6.40459076682
2599167	0	13	0.000852162743683	6.40459076682
2599167	0	14	-0.000127330092845	6.40459076682
2599167	0	15	0.000975803945155	6.40459076682
2599167	0	16	-0.000738665566834	6.40459076682
2599167	0	17	0.000517232971387	6.40459076682
2599167	0	18	-0.000406991782359	6.40459076682
2599167	0	19	0.000196359152531	6.40459076682
2599167	1	0	0	6.40459076682
2599167	1	1	1.00717962249	6.40459076682
2599167	1	2	0.114558767855	6.40459076682
2599167	1	3	0.0232426594449	6.40459076682
2599167	1	4	0.00739863562761	6.40459076682
2599167	1	5	0.00587850427851	6.40459076682
2599167	1	6	0.00372759714098	6.40459076682
2599167	1	7	0.00449730678907	6.40459076682
2599167	1	8	0.00323047223983	6.40459076682
2599167	1	9	0.00158249274015	6.40459076682
2599167	1	10	0.000973241530701	6.40459076682
2599167	1	11	0.000356327013827	6.40459076682
2599167	1	12	0.000571019082614	6.40459076682
2599167	1	13	7.99281384687e-05	6.40459076682
2599167	1	14	0.00116963424606	6.40459076682
2599167	1	15	0.000708941856721	6.40459076682
2599167	1	16	0.000575943103436	6.40459076682
2599167	1	17	-0.000231153999784	6.40459076682
2599167	1	18	-1.21128102926e-06	6.40459076682
2599167	1	19	0.000252190845718	6.40459076682
3496348	0	0	0	6.42110248118
3496348	0	1	1.11994350658	6.42110248118
3496348	0	2	0.119998883925	6.42110248118
3496348	0	3	0.0225674947424	6.42110248118
3496348	0	4	0.00806554987024	6.42110248118
3496348	0	5	0.00504423953464	6.42110248118
3496348	0	6	0.0016780077257	6.42110248118
3496348	0	7	0.00215655304351	6.42110248118
3496348	0	8	0.00189692674126	6.42110248118
3496348	0	9	0.00112645114312	6.42110248118
